subject_id,study_id,session_id,condition,success,audio_check_passed,audio_checks,comprehension_failures,cork_guess,cork_confidence,guess,confidence,collision_check,heard_sound,worker_comments,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
678ea8b3a094ea0ba1319d21,68b823b21cc76e5d87283bc6,68b84a190b4864b12a4f035f,LCE,True,True,1,0,4.0,37.0,4.0,31.0,"At least one, but possibly more",yes,Interesting but I have no idea what the experiment is hoping to establish,68b84a190b4864b12a4f035f,678ea8b3a094ea0ba1319d21,AWAITING REVIEW,Not Applicable,2025-09-03T14:05:34.190000Z,2025-09-03T14:10:37.238000Z,,2025-09-03T14:10:37.625887Z,304.0,COHFI32D,416,Yes,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
672bc6a2073607e45cd91ca2,68b823b21cc76e5d87283bc6,68b84b3146c7c7561ecaef24,LCE,True,True,1,0,2.0,70.0,4.0,60.0,"At least one, but possibly more",yes,,68b84b3146c7c7561ecaef24,672bc6a2073607e45cd91ca2,AWAITING REVIEW,Not Applicable,2025-09-03T14:05:59.732000Z,2025-09-03T14:08:50.317000Z,,2025-09-03T14:08:50.718203Z,171.0,COHFI32D,1372,Yes,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67f8c966e81fca013fa2407a,68b823b21cc76e5d87283bc6,68b84b3d6ac39bd80e009f5a,LCE,True,True,1,0,2.0,50.0,2.0,72.0,Exactly zero,yes,I'm wondering if the lack of sound after the discs were not in view suggests they did or didn't hit each other again,68b84b3d6ac39bd80e009f5a,67f8c966e81fca013fa2407a,AWAITING REVIEW,Not Applicable,2025-09-03T14:06:10.625000Z,2025-09-03T14:10:36.536000Z,,2025-09-03T14:10:36.977638Z,266.0,COHFI32D,17,Yes,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
669ccec35c9a0ab8c376a0ae,68b823b21cc76e5d87283bc6,68b84b128c945ec52dbf6709,SCE,True,True,1,0,2.0,86.0,4.0,59.0,"At least one, but possibly more",no,all good thanks,68b84b128c945ec52dbf6709,669ccec35c9a0ab8c376a0ae,RETURNED,Not Applicable,2025-09-03T14:06:16.045000Z,2025-09-03T14:10:46.838000Z,,2025-09-03T14:48:41.178540Z,,COHFI32D,1070,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5fd4d10b2f970406fe63ad96,68b823b21cc76e5d87283bc6,68b84b6111061a89bc18a40c,SCE,True,True,1,0,2.0,99.0,2.0,99.0,Definitely more than one,no,,68b84b6111061a89bc18a40c,5fd4d10b2f970406fe63ad96,AWAITING REVIEW,Not Applicable,2025-09-03T14:06:30.747000Z,2025-09-03T14:09:00.522000Z,,2025-09-03T14:09:00.900045Z,150.0,COHFI32D,2357,Yes,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6777f3e9760d3844217b5ea8,68b823b21cc76e5d87283bc6,68b849cf7e6e1307fdbb954d,SCE,True,True,1,0,4.0,32.0,2.0,16.0,"At least one, but possibly more",no,,68b849cf7e6e1307fdbb954d,6777f3e9760d3844217b5ea8,AWAITING REVIEW,Not Applicable,2025-09-03T14:06:52.415000Z,2025-09-03T14:08:53.632000Z,,2025-09-03T14:08:58.180109Z,122.0,COHFI32D,788,Yes,19,Female,White,Latvia,United Kingdom,Latvia,English,Yes,Part-Time
5bccf3ad1662020001fe7bbe,68b823b21cc76e5d87283bc6,68b84b988cca658654537e28,SCE,True,True,1,0,4.0,25.0,4.0,11.0,"At least one, but possibly more",no,,68b84b988cca658654537e28,5bccf3ad1662020001fe7bbe,AWAITING REVIEW,Not Applicable,2025-09-03T14:07:37.320000Z,2025-09-03T14:09:51.115000Z,,2025-09-03T14:09:51.488417Z,134.0,COHFI32D,1418,Yes,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
59f0acf65de9b000017ed914,68b823b21cc76e5d87283bc6,68b84bc26e1c402ecc22bbea,LCE,True,True,1,0,2.0,28.0,4.0,24.0,"At least one, but possibly more",yes,This was an interesting study. I tried to use my imagination to make an accurate guess.,68b84bc26e1c402ecc22bbea,59f0acf65de9b000017ed914,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:08.647000Z,2025-09-03T14:10:41.421000Z,,2025-09-03T14:10:41.797487Z,153.0,COHFI32D,6967,Yes,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62a3b97d41ae082b602e815b,68b823b21cc76e5d87283bc6,68b84bc6381c16159faaf289,SCE,True,True,1,0,2.0,57.0,4.0,30.0,"At least one, but possibly more",no,"Thank you, hope my input helps!",68b84bc6381c16159faaf289,62a3b97d41ae082b602e815b,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:12.826000Z,2025-09-03T14:11:14.452000Z,,2025-09-03T14:11:14.851848Z,182.0,COHFI32D,3980,Yes,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5f467b0a0d1aef037515c8c9,68b823b21cc76e5d87283bc6,68b84bea56bbfd238e7d4c4f,LCE,True,True,1,0,2.0,62.0,4.0,24.0,"At least one, but possibly more",yes,my thoughts are I have no idea what you are fishing for lol,68b84bea56bbfd238e7d4c4f,5f467b0a0d1aef037515c8c9,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:45.928000Z,2025-09-03T14:11:26.706000Z,,2025-09-03T14:11:27.085496Z,161.0,COHFI32D,6705,Yes,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
5efb49177e130c0785b93842,68b823b21cc76e5d87283bc6,68b84bc377a35d4c15cf501f,LCE,True,True,1,0,4.0,65.0,2.0,50.0,Definitely more than one,yes,,68b84bc377a35d4c15cf501f,5efb49177e130c0785b93842,AWAITING REVIEW,Not Applicable,2025-09-03T14:08:44.312000Z,2025-09-03T14:11:19.147000Z,,2025-09-03T14:11:22.940568Z,155.0,COHFI32D,2545,Yes,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
67197894611a27c0434adff7,68b823b21cc76e5d87283bc6,68b84bd0703c977161d33213,SCE,True,True,1,0,2.0,51.0,2.0,50.0,"At least one, but possibly more",no,,68b84bd0703c977161d33213,67197894611a27c0434adff7,AWAITING REVIEW,Not Applicable,2025-09-03T14:09:44.699000Z,2025-09-03T14:14:44.064000Z,,2025-09-03T14:14:44.430607Z,300.0,COHFI32D,1909,Yes,51,Female,White,United States,United States,United States,English,No,Full-Time
650864268a31fd9d2b8f84ee,68b823b21cc76e5d87283bc6,68b84c39f51b756cd83464b9,LCE,True,True,1,0,4.0,64.0,4.0,64.0,"At least one, but possibly more",no,,68b84c39f51b756cd83464b9,650864268a31fd9d2b8f84ee,AWAITING REVIEW,Not Applicable,2025-09-03T14:10:06.852000Z,2025-09-03T14:14:56.941000Z,,2025-09-03T14:14:57.346759Z,291.0,COHFI32D,1882,Yes,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5e230311699ac45b327786dc,68b823b21cc76e5d87283bc6,68b84c291e58a5e8a15fb68f,SCE,True,True,1,0,4.0,61.0,4.0,61.0,Definitely more than one,no,"My sound was working since I heard the word 'summer' but I didn't hear anything after that. It's still working now, so I don't know why I didn't hear anything.",68b84c291e58a5e8a15fb68f,5e230311699ac45b327786dc,AWAITING REVIEW,Not Applicable,2025-09-03T14:10:20.314000Z,2025-09-03T14:13:36.252000Z,,2025-09-03T14:13:36.627506Z,196.0,COHFI32D,4948,Yes,69,Female,White,United States,United Kingdom,United Kingdom,English,No,Part-Time
6722e0b52c3dc6573ab7b819,68b823b21cc76e5d87283bc6,68b84bea9076adbc51744385,LCE,True,True,1,0,4.0,47.0,4.0,46.0,"At least one, but possibly more",yes,,68b84bea9076adbc51744385,6722e0b52c3dc6573ab7b819,AWAITING REVIEW,Not Applicable,2025-09-03T14:10:55.653000Z,2025-09-03T14:16:15.154000Z,,2025-09-03T14:16:15.538726Z,320.0,COHFI32D,473,Yes,36,Female,Other,United States,United States,United States,English,Yes,Part-Time
5d4310bbd8e961001b825ca4,68b823b21cc76e5d87283bc6,68b84cb59f8157644ae4ee71,LCE,True,True,1,0,2.0,26.0,2.0,63.0,Exactly one,yes,"Very unusual, enjoyed it, thanks",68b84cb59f8157644ae4ee71,5d4310bbd8e961001b825ca4,AWAITING REVIEW,Not Applicable,2025-09-03T14:12:09.238000Z,2025-09-03T14:14:25.485000Z,,2025-09-03T14:14:25.908200Z,137.0,COHFI32D,6030,Yes,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
59a734ce0c87a000017481ed,68b823b21cc76e5d87283bc6,68b84cbe512c1c907f808bce,SCE,True,True,1,0,2.0,65.0,2.0,59.0,"At least one, but possibly more",no,,68b84cbe512c1c907f808bce,59a734ce0c87a000017481ed,AWAITING REVIEW,Not Applicable,2025-09-03T14:12:19.200000Z,2025-09-03T14:15:46.501000Z,,2025-09-03T14:15:46.875234Z,208.0,COHFI32D,2454,Yes,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
5e83b9e3e3a9da1163fdd0dc,68b823b21cc76e5d87283bc6,68b84cc4d608d3c52ab9fc47,SCE,True,True,1,0,2.0,73.0,2.0,72.0,Definitely more than one,no,,68b84cc4d608d3c52ab9fc47,5e83b9e3e3a9da1163fdd0dc,AWAITING REVIEW,Not Applicable,2025-09-03T14:12:23.626000Z,2025-09-03T14:14:43.215000Z,,2025-09-03T14:14:43.613880Z,140.0,COHFI32D,2425,Yes,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
66cdced52b59520d110dc694,68b823b21cc76e5d87283bc6,68b84b4cb49d19632f1b074a,SCE,True,True,1,0,2.0,50.0,4.0,0.0,"At least one, but possibly more",no,,68b84b4cb49d19632f1b074a,66cdced52b59520d110dc694,AWAITING REVIEW,Not Applicable,2025-09-03T14:13:24.773000Z,2025-09-03T14:17:29.987000Z,,2025-09-03T14:17:30.389965Z,246.0,COHFI32D,550,Yes,33,Female,Asian,Maldives,United Kingdom,Maldives,English,No,DATA_EXPIRED
5e204990b062543612e9a254,68b823b21cc76e5d87283bc6,68b84d2bbd072171b3bb56c0,LCE,True,True,1,0,2.0,55.0,2.0,70.0,Exactly one,yes,,68b84d2bbd072171b3bb56c0,5e204990b062543612e9a254,AWAITING REVIEW,Not Applicable,2025-09-03T14:14:20.717000Z,2025-09-03T14:17:25.493000Z,,2025-09-03T14:17:25.879566Z,185.0,COHFI32D,2811,Yes,27,Female,White,United Kingdom,United Kingdom,Ireland,English,No,Full-Time
653b07dc6d0abbc519239d1c,68b823b21cc76e5d87283bc6,68b84d674c0f6b6f106cae0e,LCE,True,True,1,0,2.0,27.0,4.0,64.0,"At least one, but possibly more",yes,It was an interesting experiment. It was difficult to determine whether it was 2 or 4 disks just from looking at that tiny exposed corner of the box. Thank you for the opportunity to participate; I greatly appreciate it! ,68b84d674c0f6b6f106cae0e,653b07dc6d0abbc519239d1c,AWAITING REVIEW,Not Applicable,2025-09-03T14:15:03.887000Z,2025-09-03T14:19:59.827000Z,,2025-09-03T14:20:00.394778Z,296.0,COHFI32D,6736,Yes,66,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
5ceb685da7afdc00166f8391,68b823b21cc76e5d87283bc6,68b84da455d973db5cd1ae8e,SCE,True,True,1,0,4.0,77.0,4.0,71.0,Definitely more than one,yes,I'm curious what the purpose of the research on this is. ,68b84da455d973db5cd1ae8e,5ceb685da7afdc00166f8391,AWAITING REVIEW,Not Applicable,2025-09-03T14:16:08.582000Z,2025-09-03T14:21:00.355000Z,,2025-09-03T14:21:00.740073Z,292.0,COHFI32D,2287,Yes,39,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
65537e14439274fe5036b4d2,68b823b21cc76e5d87283bc6,68b84da54e326ed04694e9de,LCE,True,True,1,0,2.0,30.0,2.0,23.0,"At least one, but possibly more",yes,,68b84da54e326ed04694e9de,65537e14439274fe5036b4d2,AWAITING REVIEW,Not Applicable,2025-09-03T14:16:10.395000Z,2025-09-03T14:18:20.991000Z,,2025-09-03T14:18:21.398175Z,131.0,COHFI32D,3611,Yes,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
67e99ec5ac9317593a3fd76b,68b823b21cc76e5d87283bc6,68b84daf9c3a67b0d824e7bf,LCE,True,True,1,0,4.0,88.0,2.0,75.0,Exactly one,yes,,68b84daf9c3a67b0d824e7bf,67e99ec5ac9317593a3fd76b,AWAITING REVIEW,Not Applicable,2025-09-03T14:17:23.046000Z,2025-09-03T14:23:25.844000Z,,2025-09-03T14:23:26.254907Z,363.0,COHFI32D,3537,Yes,31,Male,Black,United States,United States,United States,English,No,Full-Time
5ea5856f110e69000a0f7509,68b823b21cc76e5d87283bc6,68b84df76bca31c3d59774ed,SCE,True,True,1,0,2.0,74.0,4.0,25.0,"At least one, but possibly more",no,,68b84df76bca31c3d59774ed,5ea5856f110e69000a0f7509,AWAITING REVIEW,Not Applicable,2025-09-03T14:17:35.283000Z,2025-09-03T14:20:35.410000Z,,2025-09-03T14:20:35.793034Z,181.0,COHFI32D,4041,Yes,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
615a17c90199096a5bbe0f48,68b823b21cc76e5d87283bc6,68b84e1df021cfc09fe3025f,SCE,True,True,1,0,4.0,44.0,4.0,41.0,"At least one, but possibly more",no,,68b84e1df021cfc09fe3025f,615a17c90199096a5bbe0f48,AWAITING REVIEW,Not Applicable,2025-09-03T14:18:09.288000Z,2025-09-03T14:20:07.642000Z,,2025-09-03T14:20:08.067078Z,119.0,COHFI32D,937,Yes,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
58a5d58bb2a7180001f061d4,68b823b21cc76e5d87283bc6,68b84e996267bd998e8ad5be,LCE,True,True,1,0,2.0,33.0,2.0,31.0,Exactly one,yes,,68b84e996267bd998e8ad5be,58a5d58bb2a7180001f061d4,AWAITING REVIEW,Not Applicable,2025-09-03T14:20:12.576000Z,2025-09-03T14:22:33.492000Z,,2025-09-03T14:22:33.876091Z,141.0,COHFI32D,3880,Yes,39,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
